cell_id,tsne_1,tsne_2,true_label,predicted_label,hungarian_annotation,marker_overlap_annotation,batch
human1_lib1.final_cell_0129-0,-0.70745593,32.331184,delta,8,delta,delta,human1
human1_lib1.final_cell_0130-0,30.581276,19.693676,beta,12,beta,beta,human1
human1_lib1.final_cell_0131-0,27.36993,-54.19784,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0132-0,-39.14148,-31.97309,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0133-0,35.510822,-0.7145734,beta,12,beta,beta,human1
human1_lib1.final_cell_0134-0,-29.42794,52.882668,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0135-0,7.570353,-70.77411,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0136-0,33.171368,32.858944,beta,12,beta,beta,human1
human1_lib1.final_cell_0137-0,40.57319,59.81055,beta,12,beta,beta,human1
human1_lib1.final_cell_0138-0,11.053192,-69.24993,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0139-0,35.490692,9.171421,beta,12,beta,beta,human1
human1_lib1.final_cell_0140-0,-1.9033846,22.448887,delta,8,delta,delta,human1
human1_lib1.final_cell_0141-0,25.912333,23.176317,beta,12,beta,beta,human1
human1_lib1.final_cell_0142-0,38.616364,13.653489,beta,12,beta,beta,human1
human1_lib1.final_cell_0143-0,38.765427,-10.318045,beta,12,beta,beta,human1
human1_lib1.final_cell_0144-0,51.39008,39.26831,beta,12,beta,beta,human1
human1_lib1.final_cell_0145-0,41.208115,68.64294,beta,12,beta,beta,human1
human1_lib1.final_cell_0146-0,3.4074934,18.097612,delta,8,delta,delta,human1
human1_lib1.final_cell_0147-0,40.53948,49.743977,beta,12,beta,beta,human1
human1_lib1.final_cell_0148-0,-66.137726,3.6240897,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0149-0,-66.36634,5.4766297,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0150-0,38.420918,-0.73996866,beta,12,beta,beta,human1
human1_lib1.final_cell_0151-0,37.5372,-13.056599,beta,12,beta,beta,human1
human1_lib1.final_cell_0152-0,32.765507,29.919899,beta,12,beta,beta,human1
human1_lib1.final_cell_0153-0,53.072132,-12.647404,beta,12,beta,beta,human1
human1_lib1.final_cell_0154-0,-12.434876,23.952356,delta,8,delta,delta,human1
human1_lib1.final_cell_0155-0,48.62273,-17.266216,beta,12,beta,beta,human1
human1_lib1.final_cell_0156-0,-27.360472,-7.763647,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0157-0,36.48892,21.328444,beta,12,beta,beta,human1
human1_lib1.final_cell_0158-0,45.133934,26.056519,beta,12,beta,beta,human1
human1_lib1.final_cell_0159-0,6.853372,-71.742386,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0160-0,43.39603,30.628199,beta,12,beta,beta,human1
human1_lib1.final_cell_0161-0,33.116333,-62.918697,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0162-0,53.941277,-13.405987,beta,12,beta,beta,human1
human1_lib1.final_cell_0163-0,-45.92598,-67.078804,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0164-0,31.947357,47.143425,beta,12,beta,beta,human1
human1_lib1.final_cell_0165-0,37.555447,-6.408881,beta,12,beta,beta,human1
human1_lib1.final_cell_0166-0,44.162804,-17.8579,beta,12,beta,beta,human1
human1_lib1.final_cell_0167-0,44.582466,73.18084,beta,12,beta,beta,human1
human1_lib1.final_cell_0168-0,34.485973,-4.6913347,beta,12,beta,beta,human1
human1_lib1.final_cell_0169-0,39.85004,50.97205,beta,12,beta,beta,human1
human1_lib1.final_cell_0170-0,39.512577,48.99732,beta,12,beta,beta,human1
human1_lib1.final_cell_0171-0,-25.172035,55.671112,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0172-0,38.11001,40.21981,beta,12,beta,beta,human1
human1_lib1.final_cell_0173-0,-32.07524,52.684288,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0174-0,35.991123,12.091733,beta,12,beta,beta,human1
human1_lib1.final_cell_0175-0,46.561802,-18.61007,beta,12,beta,beta,human1
human1_lib1.final_cell_0176-0,43.88107,59.144867,beta,12,beta,beta,human1
human1_lib1.final_cell_0177-0,-30.541468,52.876102,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0178-0,-4.9438205,29.924154,delta,8,delta,delta,human1
human1_lib1.final_cell_0179-0,36.180588,58.626934,beta,12,beta,beta,human1
human1_lib1.final_cell_0180-0,-11.416909,23.757565,delta,8,delta,delta,human1
human1_lib1.final_cell_0181-0,39.415676,36.103718,beta,12,beta,beta,human1
human1_lib1.final_cell_0182-0,-30.332422,55.12079,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0183-0,29.48653,-64.82756,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0184-0,35.68672,56.848644,beta,12,beta,beta,human1
human1_lib1.final_cell_0185-0,20.774687,-75.91169,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0186-0,33.508804,-4.14835,beta,12,beta,beta,human1
human1_lib1.final_cell_0187-0,25.10468,-62.2757,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0188-0,-64.028435,26.708155,endothelial,0,endothelial,endothelial,human1
human1_lib1.final_cell_0189-0,35.002804,-9.375477,beta,12,beta,beta,human1
human1_lib1.final_cell_0190-0,40.412914,42.961132,beta,12,beta,beta,human1
human1_lib1.final_cell_0191-0,31.973303,-60.02588,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0192-0,4.671562,17.934435,delta,8,delta,delta,human1
human1_lib1.final_cell_0193-0,42.247665,-0.7117103,beta,12,beta,beta,human1
human1_lib1.final_cell_0194-0,56.820522,-10.90898,beta,12,beta,beta,human1
human1_lib1.final_cell_0195-0,-1.144261,32.137897,delta,8,delta,delta,human1
human1_lib1.final_cell_0196-0,35.396954,59.273125,beta,12,beta,beta,human1
human1_lib1.final_cell_0197-0,-50.262417,-64.79925,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0198-0,31.978796,-60.40382,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0199-0,35.674343,38.780876,beta,12,beta,beta,human1
human1_lib1.final_cell_0200-0,26.80045,11.42894,beta,12,beta,beta,human1
human1_lib1.final_cell_0201-0,-0.48444018,25.329554,delta,8,delta,delta,human1
human1_lib1.final_cell_0202-0,30.918858,-65.34325,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0203-0,-82.97439,-13.652081,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0204-0,30.549843,18.969517,beta,12,beta,beta,human1
human1_lib1.final_cell_0205-0,3.1201642,-73.103516,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0206-0,45.601883,59.157246,beta,12,beta,beta,human1
human1_lib1.final_cell_0207-0,-81.2939,-1.8741499,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0208-0,19.323553,-70.071106,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0209-0,-64.8077,2.6406698,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0210-0,43.670403,66.21554,beta,12,beta,beta,human1
human1_lib1.final_cell_0211-0,33.502758,18.068657,beta,12,beta,beta,human1
human1_lib1.final_cell_0212-0,19.462559,-55.802834,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0213-0,36.0072,61.128506,beta,12,beta,beta,human1
human1_lib1.final_cell_0214-0,43.23765,34.743835,beta,12,beta,beta,human1
human1_lib1.final_cell_0215-0,-28.561382,23.101427,quiescent_stellate,15,epsilon,quiescent_stellate,human1
human1_lib1.final_cell_0216-0,-80.88084,-3.9545016,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0217-0,-70.67721,41.354465,ductal,2,Unmatched_2,ductal,human1
human1_lib1.final_cell_0218-0,-52.463478,38.61284,endothelial,0,endothelial,endothelial,human1
human1_lib1.final_cell_0219-0,-26.88421,-7.6738524,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0220-0,34.887524,40.254925,beta,12,beta,beta,human1
human1_lib1.final_cell_0221-0,5.8472705,21.960009,delta,8,delta,delta,human1
human1_lib1.final_cell_0222-0,-40.880344,-64.51669,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0223-0,43.95599,-9.501493,beta,12,beta,beta,human1
human1_lib1.final_cell_0224-0,33.312225,-7.8517795,beta,12,beta,beta,human1
human1_lib1.final_cell_0225-0,35.87957,57.216904,beta,12,beta,beta,human1
human1_lib1.final_cell_0226-0,23.500038,-54.763542,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0227-0,34.50494,52.369377,beta,12,beta,beta,human1
human1_lib1.final_cell_0228-0,43.63584,62.379913,beta,12,beta,beta,human1
human1_lib1.final_cell_0229-0,-2.3162725,30.062672,delta,8,delta,delta,human1
human1_lib1.final_cell_0230-0,-60.151962,4.299197,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0231-0,35.06876,12.78899,beta,12,beta,beta,human1
human1_lib1.final_cell_0232-0,5.592499,21.729784,delta,8,delta,delta,human1
human1_lib1.final_cell_0233-0,4.6971707,29.402704,delta,8,delta,delta,human1
human1_lib1.final_cell_0234-0,34.585236,48.631493,beta,12,beta,beta,human1
human1_lib1.final_cell_0235-0,-4.1901417,31.518581,delta,8,delta,delta,human1
human1_lib1.final_cell_0236-0,44.481895,-19.151,beta,12,beta,beta,human1
human1_lib1.final_cell_0237-0,-27.731308,-5.525165,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0238-0,31.14328,-5.3776164,beta,12,beta,beta,human1
human1_lib1.final_cell_0239-0,45.415146,41.590427,beta,12,beta,beta,human1
human1_lib1.final_cell_0240-0,10.597535,25.350348,delta,8,delta,delta,human1
human1_lib1.final_cell_0241-0,37.183186,-2.65503,beta,12,beta,beta,human1
human1_lib1.final_cell_0242-0,-34.38312,21.707247,quiescent_stellate,13,quiescent_stellate,quiescent_stellate,human1
human1_lib1.final_cell_0243-0,36.736855,11.724856,beta,12,beta,beta,human1
human1_lib1.final_cell_0244-0,-29.767258,56.390594,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0245-0,17.705515,-68.32523,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0246-0,-3.0510635,32.864506,delta,8,delta,delta,human1
human1_lib1.final_cell_0247-0,36.430363,54.74297,beta,12,beta,beta,human1
human1_lib1.final_cell_0248-0,32.460815,-55.956142,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0249-0,31.161318,-3.0253098,beta,12,beta,beta,human1
human1_lib1.final_cell_0250-0,-57.98494,23.641226,endothelial,0,endothelial,endothelial,human1
human1_lib1.final_cell_0251-0,-5.255171,25.204802,delta,8,delta,delta,human1
human1_lib1.final_cell_0252-0,-1.3393351,23.883976,delta,8,delta,delta,human1
human1_lib1.final_cell_0253-0,70.38504,2.2866352,beta,12,beta,beta,human1
human1_lib1.final_cell_0254-0,47.510155,59.73526,beta,12,beta,beta,human1
human1_lib1.final_cell_0255-0,6.290451,29.31132,delta,8,delta,delta,human1
human1_lib1.final_cell_0256-0,-44.80712,-64.83612,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0257-0,5.884379,-73.11691,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0258-0,39.09428,-4.724597,beta,12,beta,beta,human1
human1_lib1.final_cell_0259-0,42.81407,-13.830652,beta,12,beta,beta,human1
human1_lib1.final_cell_0260-0,42.260098,60.56875,beta,12,beta,beta,human1
human1_lib1.final_cell_0261-0,-29.575733,69.949265,ductal,1,acinar,acinar,human1
human1_lib1.final_cell_0262-0,-5.133648,19.828922,delta,8,delta,delta,human1
human1_lib1.final_cell_0263-0,33.507526,-60.320206,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0264-0,43.893147,44.908268,beta,12,beta,beta,human1
human1_lib1.final_cell_0265-0,-40.58006,-64.55073,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0266-0,42.76627,-11.750026,beta,12,beta,beta,human1
human1_lib1.final_cell_0267-0,43.217525,27.650015,beta,12,beta,beta,human1
human1_lib1.final_cell_0268-0,44.94027,72.20366,beta,12,beta,beta,human1
human1_lib1.final_cell_0269-0,-31.572891,24.271461,quiescent_stellate,13,quiescent_stellate,quiescent_stellate,human1
human1_lib1.final_cell_0270-0,4.96721,-72.06693,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0271-0,-5.8777657,23.38003,delta,8,delta,delta,human1
human1_lib1.final_cell_0272-0,28.826153,-71.781105,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0273-0,-56.690334,33.04489,endothelial,0,endothelial,endothelial,human1
human1_lib1.final_cell_0274-0,-11.792596,-65.57744,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0275-0,1.8371438,30.98642,delta,8,delta,delta,human1
human1_lib1.final_cell_0276-0,37.387665,2.0626097,beta,12,beta,beta,human1
human1_lib1.final_cell_0277-0,-43.114895,-67.173706,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0278-0,-81.264404,-3.7010467,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0279-0,29.48385,-64.705536,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0280-0,-29.155323,-28.724514,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0281-0,0.9095905,20.013718,delta,8,delta,delta,human1
human1_lib1.final_cell_0282-0,41.141205,-2.6830533,beta,12,beta,beta,human1
human1_lib1.final_cell_0283-0,33.334732,4.9780064,beta,12,beta,beta,human1
human1_lib1.final_cell_0284-0,-64.87719,4.8573775,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0285-0,6.8094945,-66.136795,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0286-0,40.552746,-14.998451,beta,12,beta,beta,human1
human1_lib1.final_cell_0287-0,-5.0962276,14.00029,delta,8,delta,delta,human1
human1_lib1.final_cell_0288-0,-91.76314,11.500809,macrophage,6,macrophage,macrophage,human1
human1_lib1.final_cell_0289-0,-53.461075,38.089573,endothelial,0,endothelial,endothelial,human1
human1_lib1.final_cell_0290-0,29.669561,35.32202,beta,12,beta,beta,human1
human1_lib1.final_cell_0291-0,42.27889,36.151752,beta,12,beta,beta,human1
human1_lib1.final_cell_0292-0,26.655584,19.625881,beta,12,beta,beta,human1
human1_lib1.final_cell_0293-0,45.060085,63.42185,beta,12,beta,beta,human1
human1_lib1.final_cell_0294-0,32.817635,20.413418,beta,12,beta,beta,human1
human1_lib1.final_cell_0295-0,39.462727,61.097797,beta,12,beta,beta,human1
human1_lib1.final_cell_0296-0,32.919178,21.60601,beta,12,beta,beta,human1
human1_lib1.final_cell_0297-0,38.99151,59.4549,beta,12,beta,beta,human1
human1_lib1.final_cell_0298-0,29.407175,35.05174,beta,12,beta,beta,human1
human1_lib1.final_cell_0299-0,63.425297,-7.5844297,beta,12,beta,beta,human1
human1_lib1.final_cell_0300-0,30.623308,-6.415554,beta,12,beta,beta,human1
human1_lib1.final_cell_0301-0,-46.28249,-67.3165,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0302-0,-57.87127,28.06845,endothelial,0,endothelial,endothelial,human1
human1_lib1.final_cell_0303-0,30.6774,11.945469,beta,12,beta,beta,human1
human1_lib1.final_cell_0304-0,74.49921,-0.19745722,beta,12,beta,beta,human1
human1_lib1.final_cell_0305-0,45.754242,64.91137,beta,12,beta,beta,human1
human1_lib1.final_cell_0306-0,-2.2347324,21.812262,delta,8,delta,delta,human1
human1_lib1.final_cell_0307-0,39.567986,21.476398,beta,12,beta,beta,human1
human1_lib1.final_cell_0308-0,-44.220303,-65.142624,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0309-0,24.801039,-75.073044,epsilon,11,alpha,alpha,human1
human1_lib1.final_cell_0310-0,-3.8680496,21.895552,delta,8,delta,delta,human1
human1_lib1.final_cell_0311-0,56.945656,-11.121681,beta,12,beta,beta,human1
human1_lib1.final_cell_0312-0,35.08377,-1.7728944,beta,12,beta,beta,human1
human1_lib1.final_cell_0313-0,-50.026794,-62.440178,gamma,7,gamma,gamma,human1
human1_lib1.final_cell_0314-0,41.129032,-1.7053294,beta,12,beta,beta,human1
human1_lib1.final_cell_0315-0,26.786364,-79.024155,beta,11,alpha,alpha,human1
human1_lib1.final_cell_0316-0,44.25537,13.430726,beta,12,beta,beta,human1
human1_lib1.final_cell_0317-0,43.38308,25.89755,beta,12,beta,beta,human1
human1_lib1.final_cell_0318-0,34.771328,12.60171,beta,12,beta,beta,human1
human1_lib1.final_cell_0319-0,-60.945232,24.843292,endothelial,0,endothelial,endothelial,human1
